id_comuna;descripcion;id_region
394;ALTO HOSPICIO;1
7;CAMIÑA;1
8;COLCHANE;1
6;HUARA;1
5;IQUIQUE;1
9;PICA;1
10;POZO ALMONTE;1
16;ANTOFAGASTA;2
13;CALAMA;2
12;MARÍA ELENA;2
17;MEJILLONES;2
14;OLLAGÜE;2
15;SAN PEDRO DE ATACAMA;2
18;SIERRA GORDA;2
19;TALTAL;2
11;TOCOPILLA;2
28;ALTO DEL CARMEN;3
23;CALDERA;3
20;CHAÑARAL;3
22;COPIAPÓ;3
21;DIEGO DE ALMAGRO;3
26;FREIRINA;3
27;HUASCO;3
24;TIERRA AMARILLA;3
25;VALLENAR;3
32;ANDACOLLO;4
43;CANELA;4
38;COMBARBALÁ;4
31;COQUIMBO;4
40;ILLAPEL;4
30;LA HIGUERA;4
29;LA SERENA;4
42;LOS VILOS;4
37;MONTE PATRIA;4
35;OVALLE;4
34;PAIHUANO;4
39;PUNITAQUI;4
36;RÍO HURTADO;4
41;SALAMANCA;4
33;VICUÑA;4
78;ALGARROBO;5
46;CABILDO;5
61;CALERA;5
51;CALLE LARGA;5
75;CARTAGENA;5
72;CASABLANCA;5
58;CATEMU;5
377;CONCÓN;5
77;EL QUISCO;5
76;EL TABO;5
63;HIJUELAS;5
80;ISLA DE PASCUA;5
73;JUAN FERNÁNDEZ;5
60;LA CRUZ;5
44;LA LIGUA;5
64;LIMACHE;5
57;LLAILLAY;5
382;LLAY LLAY;5
49;LOS ANDES;5
62;NOGALES;5
65;OLMUÉ;5
56;PANQUEHUE;5
48;PAPUDO;5
45;PETORCA;5
69;PUCHUNCAVÍ;5
54;PUTAENDO;5
59;QUILLOTA;5
70;QUILPUÉ;5
68;QUINTERO;5
52;RINCONADA;5
74;SAN ANTONIO;5
50;SAN ESTEBAN;5
53;SAN FELIPE;5
55;SANTA MARÍA;5
79;SANTO DOMINGO;5
66;VALPARAÍSO;5
71;VILLA ALEMANA;5
67;VIÑA DEL MAR;5
47;ZAPALLAR;5
153;CHÉPICA;6
150;CHIMBARONGO;6
135;CODEGUA;6
146;COINCO;6
145;COLTAUCO;6
147;DOÑIHUE;6
133;GRANEROS;6
162;LA ESTRELLA;6
148;LAS CABRAS;6
161;LITUECHE;6
155;LOLOL;6
136;MACHALÍ;6
140;MALLOA;6
163;MARCHIHUE;6
134;MOSTAZAL;6
152;NANCAGUA;6
160;NAVIDAD;6
137;OLIVAR;6
157;PALMILLA;6
164;PAREDONES;6
158;PERALILLO;6
144;PEUMO;6
143;PICHIDEGUA;6
159;PICHILEMU;6
151;PLACILLA;6
156;PUMANQUE;6
141;QUINTA DE TILCOCO;6
132;RANCAGUA;6
139;RENGO;6
138;REQUÍNOA;6
149;SAN FERNANDO;6
142;SAN VICENTE;6
154;SANTA CRUZ;6
191;CAUQUENES;7
193;CHANCO;7
185;COLBÚN;7
181;CONSTITUCIÓN;7
182;CUREPTO;7
165;CURICÓ;7
179;EMPEDRADO;7
